Games,n,percentage sorted
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,2,3.4229999999999996
3,3,0.33089999999999997
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,2,27.174500000000002
4,3,10.6066
4,4,2.719
4,5,0.058699999999999995
4,6,0.00019999999999999998
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,2,35.1778
5,3,14.130899999999999
5,4,5.1428
5,5,1.4146
5,6,0.3495
5,7,0.0261
5,8,0.00039999999999999996
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,2,36.0668
6,3,14.582999999999998
6,4,5.455
6,5,1.6641
6,6,0.40790000000000004
6,7,0.0786
6,8,0.0136
6,9,0.0018
6,10,0.00030000000000000003
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,2,35.0946
7,3,14.066799999999999
7,4,5.391
7,5,1.8137
7,6,0.5297999999999999
7,7,0.1253
7,8,0.025500000000000002
7,9,0.0031999999999999997
7,10,9.999999999999999e-05
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
8,2,34.185300000000005
8,3,13.639100000000001
8,4,5.2981
8,5,1.8587
8,6,0.5668000000000001
8,7,0.1488
8,8,0.034
8,9,0.0072
8,10,0.0011
8,11,9.999999999999999e-05
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
9,2,32.989200000000004
9,3,12.967500000000001
9,4,5.0726
9,5,1.8454000000000002
9,6,0.6071
9,7,0.17880000000000001
9,8,0.043800000000000006
9,9,0.0104
9,10,0.0021
9,11,0.00030000000000000003
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
10,2,32.0323
10,3,12.4296
10,4,4.9032
10,5,1.8173000000000001
10,6,0.6171
10,7,0.193
10,8,0.05
10,9,0.0113
10,10,0.0023
10,11,0.00039999999999999996
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
11,2,31.113200000000003
11,3,11.899899999999999
11,4,4.6875
11,5,1.7600999999999998
11,6,0.6147
11,7,0.20170000000000002
11,8,0.058100000000000006
11,9,0.0145
11,10,0.0033000000000000004
11,11,0.0007
11,12,9.999999999999999e-05
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.0
11,19,0.0
11,20,0.0
11,21,0.0
11,22,0.0
11,23,0.0
12,2,30.203799999999998
12,3,11.3855
12,4,4.4704
12,5,1.7250999999999999
12,6,0.6224999999999999
12,7,0.20500000000000002
12,8,0.061700000000000005
12,9,0.015300000000000001
12,10,0.0034
12,11,0.0007
12,12,0.00019999999999999998
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
13,2,29.372700000000002
13,3,10.894
13,4,4.264600000000001
13,5,1.6294
13,6,0.5961
13,7,0.2032
13,8,0.05959999999999999
13,9,0.017499999999999998
13,10,0.0044
13,11,0.0007999999999999999
13,12,0.00019999999999999998
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
13,20,0.0
13,21,0.0
13,22,0.0
13,23,0.0
14,2,28.722900000000003
14,3,10.482700000000001
14,4,4.0723
14,5,1.5623
14,6,0.5807
14,7,0.209
14,8,0.06949999999999999
14,9,0.021599999999999998
14,10,0.0056
14,11,0.0011
14,12,9.999999999999999e-05
14,13,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
14,21,0.0
14,22,0.0
14,23,0.0
15,2,28.0858
15,3,10.145999999999999
15,4,3.9240999999999997
15,5,1.5302
15,6,0.5727
15,7,0.20149999999999998
15,8,0.07150000000000001
15,9,0.022699999999999998
15,10,0.0065
15,11,0.0026
15,12,0.0007
15,13,0.00030000000000000003
15,14,0.0
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
15,20,0.0
15,21,0.0
15,22,0.0
15,23,0.0
16,2,27.5042
16,3,9.805
16,4,3.7803999999999998
16,5,1.4574
16,6,0.5667
16,7,0.20079999999999998
16,8,0.0689
16,9,0.022699999999999998
16,10,0.0067
16,11,0.0025
16,12,0.0007999999999999999
16,13,0.00019999999999999998
16,14,0.0
16,15,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
16,20,0.0
16,21,0.0
16,22,0.0
16,23,0.0
17,2,26.8816
17,3,9.4588
17,4,3.6171
17,5,1.4151
17,6,0.5422
17,7,0.1968
17,8,0.0671
17,9,0.0232
17,10,0.0063
17,11,0.0013
17,12,0.00030000000000000003
17,13,0.0
17,14,0.0
17,15,0.0
17,16,0.0
17,17,0.0
17,18,0.0
17,19,0.0
17,20,0.0
17,21,0.0
17,22,0.0
17,23,0.0
18,2,26.336599999999997
18,3,9.1234
18,4,3.4802
18,5,1.3679999999999999
18,6,0.5309
18,7,0.19980000000000003
18,8,0.0677
18,9,0.0236
18,10,0.007600000000000001
18,11,0.0022
18,12,0.0007999999999999999
18,13,0.00039999999999999996
18,14,0.00019999999999999998
18,15,0.0
18,16,0.0
18,17,0.0
18,18,0.0
18,19,0.0
18,20,0.0
18,21,0.0
18,22,0.0
18,23,0.0
19,2,25.8152
19,3,8.83
19,4,3.3156
19,5,1.3016
19,6,0.502
19,7,0.1862
19,8,0.0631
19,9,0.0211
19,10,0.006600000000000001
19,11,0.0021
19,12,0.0006000000000000001
19,13,0.00019999999999999998
19,14,0.0
19,15,0.0
19,16,0.0
19,17,0.0
19,18,0.0
19,19,0.0
19,20,0.0
19,21,0.0
19,22,0.0
19,23,0.0
20,2,25.397599999999997
20,3,8.6032
20,4,3.2089
20,5,1.258
20,6,0.4866
20,7,0.1785
20,8,0.0673
20,9,0.0254
20,10,0.01
20,11,0.0034
20,12,0.0007
20,13,0.00030000000000000003
20,14,9.999999999999999e-05
20,15,0.0
20,16,0.0
20,17,0.0
20,18,0.0
20,19,0.0
20,20,0.0
20,21,0.0
20,22,0.0
20,23,0.0
21,2,24.936700000000002
21,3,8.3369
21,4,3.1146
21,5,1.2125000000000001
21,6,0.46759999999999996
21,7,0.1717
21,8,0.0615
21,9,0.0205
21,10,0.0071
21,11,0.0024000000000000002
21,12,0.001
21,13,9.999999999999999e-05
21,14,0.0
21,15,0.0
21,16,0.0
21,17,0.0
21,18,0.0
21,19,0.0
21,20,0.0
21,21,0.0
21,22,0.0
21,23,0.0
22,2,24.5289
22,3,8.1073
22,4,2.9833
22,5,1.155
22,6,0.43750000000000006
22,7,0.16540000000000002
22,8,0.0577
22,9,0.021
22,10,0.0083
22,11,0.0026
22,12,0.0007
22,13,0.0005
22,14,9.999999999999999e-05
22,15,0.0
22,16,0.0
22,17,0.0
22,18,0.0
22,19,0.0
22,20,0.0
22,21,0.0
22,22,0.0
22,23,0.0
23,2,24.130599999999998
23,3,7.876900000000001
23,4,2.8827
23,5,1.1098000000000001
23,6,0.4299
23,7,0.15889999999999999
23,8,0.0601
23,9,0.0235
23,10,0.0087
23,11,0.0026999999999999997
23,12,0.0006000000000000001
23,13,0.00030000000000000003
23,14,9.999999999999999e-05
23,15,0.0
23,16,0.0
23,17,0.0
23,18,0.0
23,19,0.0
23,20,0.0
23,21,0.0
23,22,0.0
23,23,0.0
24,2,23.7423
24,3,7.7071000000000005
24,4,2.7986
24,5,1.0562
24,6,0.40850000000000003
24,7,0.1566
24,8,0.0572
24,9,0.0213
24,10,0.007899999999999999
24,11,0.0026999999999999997
24,12,0.0005
24,13,0.00019999999999999998
24,14,0.0
24,15,0.0
24,16,0.0
24,17,0.0
24,18,0.0
24,19,0.0
24,20,0.0
24,21,0.0
24,22,0.0
24,23,0.0
25,2,23.2925
25,3,7.4284
25,4,2.7013
25,5,1.0188
25,6,0.3785
25,7,0.1406
25,8,0.0553
25,9,0.020900000000000002
25,10,0.006600000000000001
25,11,0.0026
25,12,0.0007999999999999999
25,13,0.00030000000000000003
25,14,0.00019999999999999998
25,15,9.999999999999999e-05
25,16,0.0
25,17,0.0
25,18,0.0
25,19,0.0
25,20,0.0
25,21,0.0
25,22,0.0
25,23,0.0
26,2,23.029700000000002
26,3,7.2719000000000005
26,4,2.6016999999999997
26,5,0.9848000000000001
26,6,0.3809
26,7,0.14679999999999999
26,8,0.053200000000000004
26,9,0.0208
26,10,0.008
26,11,0.0026
26,12,0.0007999999999999999
26,13,0.0005
26,14,0.0
26,15,0.0
26,16,0.0
26,17,0.0
26,18,0.0
26,19,0.0
26,20,0.0
26,21,0.0
26,22,0.0
26,23,0.0
27,2,22.7512
27,3,7.1194
27,4,2.5484
27,5,0.9587
27,6,0.3669
27,7,0.1446
27,8,0.0552
27,9,0.0203
27,10,0.0063999999999999994
27,11,0.0029
27,12,0.0014
27,13,0.00039999999999999996
27,14,0.00030000000000000003
27,15,0.00030000000000000003
27,16,0.00019999999999999998
27,17,0.0
27,18,0.0
27,19,0.0
27,20,0.0
27,21,0.0
27,22,0.0
27,23,0.0
28,2,22.4418
28,3,6.8874
28,4,2.4421000000000004
28,5,0.9133
28,6,0.3406
28,7,0.1263
28,8,0.045399999999999996
28,9,0.016300000000000002
28,10,0.0063999999999999994
28,11,0.0018
28,12,0.0007999999999999999
28,13,0.00019999999999999998
28,14,0.0
28,15,0.0
28,16,0.0
28,17,0.0
28,18,0.0
28,19,0.0
28,20,0.0
28,21,0.0
28,22,0.0
28,23,0.0
29,2,22.1507
29,3,6.8073999999999995
29,4,2.3878
29,5,0.8928999999999999
29,6,0.3358
29,7,0.12669999999999998
29,8,0.0472
29,9,0.0182
29,10,0.0067
29,11,0.0026999999999999997
29,12,0.0007999999999999999
29,13,0.00030000000000000003
29,14,9.999999999999999e-05
29,15,0.0
29,16,0.0
29,17,0.0
29,18,0.0
29,19,0.0
29,20,0.0
29,21,0.0
29,22,0.0
29,23,0.0
30,2,21.898400000000002
30,3,6.640300000000001
30,4,2.3212
30,5,0.848
30,6,0.3249
30,7,0.1243
30,8,0.043
30,9,0.0166
30,10,0.0059
30,11,0.0015999999999999999
30,12,0.0006000000000000001
30,13,9.999999999999999e-05
30,14,0.0
30,15,0.0
30,16,0.0
30,17,0.0
30,18,0.0
30,19,0.0
30,20,0.0
30,21,0.0
30,22,0.0
30,23,0.0
31,2,21.5636
31,3,6.4789
31,4,2.2348
31,5,0.8363
31,6,0.3069
31,7,0.1171
31,8,0.0431
31,9,0.0168
31,10,0.0058
31,11,0.0022
31,12,0.0007
31,13,9.999999999999999e-05
31,14,0.0
31,15,0.0
31,16,0.0
31,17,0.0
31,18,0.0
31,19,0.0
31,20,0.0
31,21,0.0
31,22,0.0
31,23,0.0
32,2,21.3084
32,3,6.2862
32,4,2.1471
32,5,0.7828999999999999
32,6,0.29550000000000004
32,7,0.1109
32,8,0.0399
32,9,0.016
32,10,0.0052
32,11,0.0022
32,12,0.00039999999999999996
32,13,9.999999999999999e-05
32,14,0.0
32,15,0.0
32,16,0.0
32,17,0.0
32,18,0.0
32,19,0.0
32,20,0.0
32,21,0.0
32,22,0.0
32,23,0.0
33,2,21.033099999999997
33,3,6.2209
33,4,2.1103
33,5,0.7716
33,6,0.2872
33,7,0.1072
33,8,0.043
33,9,0.0171
33,10,0.0060999999999999995
33,11,0.0024000000000000002
33,12,0.0007
33,13,0.00030000000000000003
33,14,9.999999999999999e-05
33,15,9.999999999999999e-05
33,16,0.0
33,17,0.0
33,18,0.0
33,19,0.0
33,20,0.0
33,21,0.0
33,22,0.0
33,23,0.0
34,2,20.8075
34,3,6.0843
34,4,2.0532000000000004
34,5,0.7429
34,6,0.2806
34,7,0.1101
34,8,0.0431
34,9,0.0165
34,10,0.0073999999999999995
34,11,0.0025
34,12,0.0009
34,13,0.00019999999999999998
34,14,0.00019999999999999998
34,15,9.999999999999999e-05
34,16,9.999999999999999e-05
34,17,0.0
34,18,0.0
34,19,0.0
34,20,0.0
34,21,0.0
34,22,0.0
34,23,0.0
35,2,20.5743
35,3,5.9579
35,4,1.9944
35,5,0.7019
35,6,0.2634
35,7,0.09990000000000002
35,8,0.0385
35,9,0.0143
35,10,0.006200000000000001
35,11,0.0029
35,12,0.0011
35,13,0.0007
35,14,0.00039999999999999996
35,15,9.999999999999999e-05
35,16,9.999999999999999e-05
35,17,0.0
35,18,0.0
35,19,0.0
35,20,0.0
35,21,0.0
35,22,0.0
35,23,0.0
36,2,20.3735
36,3,5.8496
36,4,1.9543000000000001
36,5,0.7113999999999999
36,6,0.2678
36,7,0.10239999999999999
36,8,0.0388
36,9,0.0143
36,10,0.0063999999999999994
36,11,0.0017
36,12,0.0007
36,13,9.999999999999999e-05
36,14,0.0
36,15,0.0
36,16,0.0
36,17,0.0
36,18,0.0
36,19,0.0
36,20,0.0
36,21,0.0
36,22,0.0
36,23,0.0
37,2,20.1645
37,3,5.7237
37,4,1.8825999999999998
37,5,0.6726
37,6,0.2464
37,7,0.09179999999999999
37,8,0.0327
37,9,0.0107
37,10,0.0041
37,11,0.0017
37,12,0.0007999999999999999
37,13,0.00030000000000000003
37,14,9.999999999999999e-05
37,15,9.999999999999999e-05
37,16,0.0
37,17,0.0
37,18,0.0
37,19,0.0
37,20,0.0
37,21,0.0
37,22,0.0
37,23,0.0
38,2,19.8859
38,3,5.6104
38,4,1.8316
38,5,0.6562
38,6,0.2421
38,7,0.0921
38,8,0.0332
38,9,0.012799999999999999
38,10,0.004699999999999999
38,11,0.0015
38,12,0.0005
38,13,0.0
38,14,0.0
38,15,0.0
38,16,0.0
38,17,0.0
38,18,0.0
38,19,0.0
38,20,0.0
38,21,0.0
38,22,0.0
38,23,0.0
39,2,19.7022
39,3,5.4896
39,4,1.7993
39,5,0.6287
39,6,0.2323
39,7,0.09169999999999999
39,8,0.0357
39,9,0.0111
39,10,0.0049
39,11,0.0015
39,12,0.0007
39,13,0.0006000000000000001
39,14,0.00030000000000000003
39,15,0.00019999999999999998
39,16,0.0
39,17,0.0
39,18,0.0
39,19,0.0
39,20,0.0
39,21,0.0
39,22,0.0
39,23,0.0
40,2,19.5365
40,3,5.4239999999999995
40,4,1.7527000000000001
40,5,0.6197
40,6,0.22490000000000002
40,7,0.08310000000000001
40,8,0.0322
40,9,0.012199999999999999
40,10,0.0049
40,11,0.0022
40,12,0.0005
40,13,0.0
40,14,0.0
40,15,0.0
40,16,0.0
40,17,0.0
40,18,0.0
40,19,0.0
40,20,0.0
40,21,0.0
40,22,0.0
40,23,0.0
41,2,19.3309
41,3,5.327500000000001
41,4,1.7309
41,5,0.6021000000000001
41,6,0.2164
41,7,0.08109999999999999
41,8,0.0321
41,9,0.011000000000000001
41,10,0.0044
41,11,0.0018
41,12,0.0006000000000000001
41,13,9.999999999999999e-05
41,14,9.999999999999999e-05
41,15,9.999999999999999e-05
41,16,0.0
41,17,0.0
41,18,0.0
41,19,0.0
41,20,0.0
41,21,0.0
41,22,0.0
41,23,0.0
42,2,19.114800000000002
42,3,5.2195
42,4,1.6699
42,5,0.5813999999999999
42,6,0.2144
42,7,0.0758
42,8,0.0294
42,9,0.0117
42,10,0.0038000000000000004
42,11,0.0014
42,12,0.0005
42,13,9.999999999999999e-05
42,14,0.0
42,15,0.0
42,16,0.0
42,17,0.0
42,18,0.0
42,19,0.0
42,20,0.0
42,21,0.0
42,22,0.0
42,23,0.0
43,2,18.9567
43,3,5.1108
43,4,1.6300999999999999
43,5,0.5628
43,6,0.209
43,7,0.0758
43,8,0.0274
43,9,0.011000000000000001
43,10,0.0043
43,11,0.0021
43,12,0.0007
43,13,0.00030000000000000003
43,14,0.0
43,15,0.0
43,16,0.0
43,17,0.0
43,18,0.0
43,19,0.0
43,20,0.0
43,21,0.0
43,22,0.0
43,23,0.0
44,2,18.743199999999998
44,3,5.037599999999999
44,4,1.5993
44,5,0.5515
44,6,0.1966
44,7,0.0716
44,8,0.0265
44,9,0.009600000000000001
44,10,0.0036
44,11,0.0015
44,12,0.0007
44,13,0.00039999999999999996
44,14,0.0
44,15,0.0
44,16,0.0
44,17,0.0
44,18,0.0
44,19,0.0
44,20,0.0
44,21,0.0
44,22,0.0
44,23,0.0
45,2,18.5974
45,3,4.9615
45,4,1.5514000000000001
45,5,0.5234
45,6,0.1853
45,7,0.0709
45,8,0.025
45,9,0.009000000000000001
45,10,0.0033000000000000004
45,11,0.0015999999999999999
45,12,0.0006000000000000001
45,13,9.999999999999999e-05
45,14,0.0
45,15,0.0
45,16,0.0
45,17,0.0
45,18,0.0
45,19,0.0
45,20,0.0
45,21,0.0
45,22,0.0
45,23,0.0
46,2,18.4713
46,3,4.9241
46,4,1.5352
46,5,0.5231
46,6,0.1882
46,7,0.07050000000000001
46,8,0.0249
46,9,0.0086
46,10,0.003
46,11,0.0011
46,12,0.00019999999999999998
46,13,0.00019999999999999998
46,14,0.0
46,15,0.0
46,16,0.0
46,17,0.0
46,18,0.0
46,19,0.0
46,20,0.0
46,21,0.0
46,22,0.0
46,23,0.0
47,2,18.2504
47,3,4.7787999999999995
47,4,1.4817
47,5,0.48910000000000003
47,6,0.1709
47,7,0.0625
47,8,0.0212
47,9,0.009000000000000001
47,10,0.0036
47,11,0.001
47,12,0.00039999999999999996
47,13,0.00019999999999999998
47,14,9.999999999999999e-05
47,15,0.0
47,16,0.0
47,17,0.0
47,18,0.0
47,19,0.0
47,20,0.0
47,21,0.0
47,22,0.0
47,23,0.0
